	review	label	restaurant
65	맛있게 잘 먹었습니다.	5	벚꽃스시-부평점
66	초밥먹고싶을때마다 여기서시켜먹는데 배달도빠르고 맛도좋구요~! 서비스주도주셔서 너무좋았어요~^^ 자주시켜먹을게요~~	5	벚꽃스시-부평점
67	맛있게 먹었습니다. 배달도 빨라요.	5	벚꽃스시-부평점
68	배달도 아주 그냥 막 빠르고👍👍👍회덮밥 회도 많고 양도 푸짐해요.연어사시미도 고소하고 맛짱👍👍👍	5	벚꽃스시-부평점
69	오랫만에 시켜먹었는데 역시 맛있게 먹었습니다^^ 다음에또시켜먹을께요 ㅎ	5	벚꽃스시-부평점
70	괜찬흥ㄴ데 뭔가옛날보다아쉬워지네요	5	벚꽃스시-부평점
71	토요일에 시켜먹고 또시켰어요 ㅋㅋㅋㅋ 새우튀김도 맛있네요	5	벚꽃스시-부평점
72	진짜 맛있네요^^ 굿	5	벚꽃스시-부평점
73	배달도 엄청 빠르고 맛있어요	5	벚꽃스시-부평점
74	배달에  한번 눈으로먹는것에 한번 맛에 한번 모든게 충족하는 스시집이네요 새우알레르기가있어서 말씀드리니 바로 빼주시고 감사합니다. 매장도 꼭한번 가봐야겠네요!	5	벚꽃스시-부평점
75	맛있게먹을게요구성이좋네욤	5	벚꽃스시-부평점
76	사장님 서비스 최고! 하나 시켰는데 덤이..!  익스프레스라 빠르고 배송비 없어서 좋네요. 맛있어서 다음에 또 주문할게요	5	벚꽃스시-부평점
77	맛있어서  또먹고싶네요  나중에또시켜먹도록하겠습니당	5	벚꽃스시-부평점
78	너무너무 맛있습니다	5	벚꽃스시-부평점
79	배달도빠르고 맛있어요👍👍👍	5	벚꽃스시-부평점
80	맛있게먹었어요!!!	5	벚꽃스시-부평점
81	양은 정 말 서비스가 끝내주네요! 회덮밥은 좀 특이네요. 덮밥의 특유의 느낌이 약하고 날치알비빕밥같은 느낌 맛은...?? 다음엔 초밥으로 먹어봐야겠어요!  입맛엔 전혀 아니었지만 회가 신선했기 때문에 4점 드립니다.	4	벚꽃스시-부평점
83	맛있고 배달도 빨라요~! 사장님 추가로 주문한 갈릭초밥이 안왔어요 ㅠㅠ 다음에 꼭 확인부탁드려요 ..	5	벚꽃스시-부평점
84	맛있게 먹었습니다. 항상 만족스럽네요.	5	벚꽃스시-부평점
85	싱싱하고 맛있습니다~~ 배송도 빠르구요 또 찾고싶은 맛이예요!	5	벚꽃스시-부평점
86	맛있게 잘먹었습니다! ^^	5	벚꽃스시-부평점
87	배송 정말 빠르네요 회는 너무 맛나네요	5	벚꽃스시-부평점
88	연어초밥먹고싶어서 찾았는데..  리뷰가 좋아서 처음 주문했네요. 포장도.양도. 맛도 훌륭하네요.  또 주문해야겠어요.	5	벚꽃스시-부평점
89	별점도 최상단이고 리뷰도 좋아서 시켰는데 그냥 별로 연어, 빨간색에 지방 전혀 없길래 오래된건가 아님 연어가 없어서 참치를 보낸건가했지만 스티커 설명에 숙성회라서 그렇다고 적혀있길래 납득, 하지만 연어맛이 하나도 안남 그냥 무 맛 흰살생선, 완전 하얀거랑 빨간거 섞인거 뭔진 모르겠지만 둘 다 비린내는 말할것도 없고(옆 다른 초밥에도 비린내 다 옮김) 질긴데다 가시 2개 나와서 초밥 2개 버림 참치, 색깔 자체가 거무튀튀  계란, 날치알 웬만하면 맛 없을수 없는데 노맛 전체적으로 안싱싱함 리뷰 300자로 모자람 초새우가 제일 맛있음!	1	벚꽃스시-부평점
90	역시 맛있어요 날치알을 좀 비려해서 교체요청드렸는데 전화로도 한번더 물어봐주시고 ㅎ 오늘 랜덤 리뷰이벶트 음식도 만족스러웠어요 ㅎ	5	벚꽃스시-부평점
91	데헷^♡^~~ 어제,오늘 제 입이 호사를.. 사장님! 남는게 너무 없는 장사하시는건 아니신지요...ㅎㅎㅎ 배달속도 오늘두 엄청나요..천천히 오셔두되용ㅎㅎ...사시미 양과,질이 다할껄요.. 이렇케  맛있는거 먹을라구  저두 열심히 돈법니다..^$^ ㅋㅋㅋㅋ 기분좋은 벚꽃스시맛 이예요. .꾸벅~~ 고생하세요~~~응원합니다.!!!	5	벚꽃스시-부평점
92	맛있습니다~~~~연어가 다른 곳이랑 조금 다른데 더 싱싱한 느낌이었어요! 배달도 빨리 오고,..자주 시켜먹을게요~^^	5	벚꽃스시-부평점
93	맛나게ᆢ잘ᆢ배달하신분 친절하시고ᆢ좋아요	5	벚꽃스시-부평점
94	정말 맛있게 잘 먹었어요	5	벚꽃스시-부평점
95	배달 엄~~~ 청 빨라서 놀랐고 맛있습니다! 리뷰이벤트도 푸짐하게 주시네요 ㅠㅠ 잘먹었습니다	5	벚꽃스시-부평점
96	배달비도 없고 배달도 빠르고 맛있고 1인이 시키기에도 완벽 그 자체... 감사합니다	5	벚꽃스시-부평점
97	야무지게 잘먹었슴돠	5	벚꽃스시-부평점
98	오늘도 잘 먹었습니다~	5	벚꽃스시-부평점
99	맛있게 잘 먹었고 다음에 또 주문할게요.	5	벚꽃스시-부평점
100	존맛탱구리 ㅠㅠㅠㅠ 제가 급하게 먹느라 사진을 못 찍었는데 너무 맛있어서 놀랐어요 롤도 실하니 배도 많이 차고 좋아요!!	5	벚꽃스시-부평점
101	초밥배달은 정말 고심 많이하는데 이제는 고민할 필요 없이 벚꽃스시에서 시켜야겠오요 기본 구성도 좋은데 맛도 좋아서 너무 만족했어요! 집에서 가까워서 직접 방문해서도 먹어봐야겠네요 ㅎㅎ 이사와서 초밥 맛집 찾게되서 기분이 좋습니다ㅎㅎ	5	벚꽃스시-부평점
102	배달빠른데 차슈 조금 달았어용ㅎ 그래도 맛있게 잘 먹었습니댜!!! 아 계란초밥 맛있었어용♡♡♡	4	벚꽃스시-부평점
103	배달도빠르고 맛있음 최고	5	벚꽃스시-부평점
104	부평에 오면 항상 여기서만 주문하는거 같아용!! 그정도로 너무 맛있어요!! 서비스로 주신 구운연어? 엄청 맛있게 잘 먹었습니다! 다음에 또 주문할게요:)	5	벚꽃스시-부평점
105	맛있게 잘먹었습니다 활어가 광어라면 더 좋을것같네요~	5	벚꽃스시-부평점
106	잘 먹었습니다.ㅎㅎ	5	벚꽃스시-부평점
107	양도 많고 맛있어요!	5	벚꽃스시-부평점
108	맛있고배달빠르네요~	4	벚꽃스시-부평점
109	넘  맛있게 먹었습니당~~~	5	벚꽃스시-부평점
110	항상 맛있게 먹고있습니다. 감사합니다.	5	호식이두마리치킨-행신2호점
111	너무 맛있는 냄새에 사진도 찍기전에 손이갔어요 매번 시켜먹지만 역시 맛있어요 고기에 후추소금 간이 약해서 애들먹기도 딱이고 넘맛나요	5	호식이두마리치킨-행신2호점
112	항상 맛있게 먹고 있습니다. 감사합니다!	5	호식이두마리치킨-행신2호점
113	양도많고맛있고!! 좋아하는 곳이라 자주 이용하는데 여전히 맘에 드네요^^  호다닥 먹느라 사진을 못찍었네요;	5	호식이두마리치킨-행신2호점
114	호식이 치킨은 행신 2호점에서~!	5	호식이두마리치킨-행신2호점
115	잘받았습니다 맛있게 먹을게요	4	호식이두마리치킨-행신2호점
116	순살은 첨시켜봤는데요 뼈와 마찬가지로 실망하진 않았어요~ 다시 주문 할 각입니다~ 배달이 예상시간보다 훨씬넘어 별하나 뺍니다ㆍㆍ	5	호식이두마리치킨-행신2호점
118	맛있게 잘먹었습니다!	5	호식이두마리치킨-행신2호점
119	주문한 음식 감사합니다.	5	호식이두마리치킨-행신2호점
120	왜 항상 먹고 나서야 후기 생각이 날까요? ㅎㅎ 목요일에 할인 많이 받고 포장으로 주문했어요 시간 맞춰 나왔고 오랜만에 시킨거였는데 닭 양도 많아진 느낌, 크기가 커진건가? 세식구 한마리 먹고 나머지 한마리는 오늘 에프에 구워 먹었는데 그러다 제가 조금 태웠네요 그래도 맛있어서 이제 딱 두 조각 남았어요 진짜 맛있었어요~~^^	5	호식이두마리치킨-행신2호점
121	레몬크림탕슈는 바삭하고 담백한맛이었어요	5	호식이두마리치킨-행신2호점
122	넘 마싯어염ㅎㅎㅎㅎㅎ	5	호식이두마리치킨-행신2호점
123	너무맛잇당 호시기소기히기	5	호식이두마리치킨-행신2호점
124	너무맛있어요 잘먹었어요	5	호식이두마리치킨-행신2호점
125	애들이 양념치킨을 좋아해서 여기서 시켜봤는데 자기들이 먹던 맛이 아니라며.한입먹고마네요... 뭔 차이가 있는건지..	2	호식이두마리치킨-행신2호점
126	저렴한 가격에 두마리 든든하게 먹었습미다	5	호식이두마리치킨-행신2호점
127	배달 빠르고 엄청 푸짐해요!	5	호식이두마리치킨-행신2호점
128	순살도 국산이라되어있어좋네요 맛있고 근데 요샌 양념은 서비스로 안주나봐요ㅜㅜ 그래도 잘먹고있어요	5	호식이두마리치킨-행신2호점
129	"맛나게 먹었어요~~""~"""	5	호식이두마리치킨-행신2호점
130	넘모 맛있어요~~~~	5	호식이두마리치킨-행신2호점
131	좋아요.-.-.-.-.-	4	호식이두마리치킨-행신2호점
132	배달 빠르네여. 잘먹었습니다	5	호식이두마리치킨-행신2호점
133	레몬크림탕슈 맛있어요 ~~ 로제떡볶이도 소스가 맛있는데 양이 통에 반만 들어있너서 좀 적은 느낌이고 떡이 좀 딱딱했어요	5	호식이두마리치킨-행신2호점
134	잘먹었어요 맛있어요	5	호식이두마리치킨-행신2호점
135	강호식 투마리치킨👍🏻	5	호식이두마리치킨-행신2호점
136	타지점에서 순살먹었을때 진짜 별로였던 기억이 있어서 살짝걱정됐었는데 너~~무 맛있게 잘먹었어요ㅎㅎ 배달도 예정시간보다 빨리와서 더 좋았어요! 다음에 또 주문할게요~	5	호식이두마리치킨-행신2호점
137	사진부터 찍어야 하는데! 꼭 먹고나서 찍게되네요! 너무 맛있어서 그랬나봐요! ㅋㅋ 잘 먹었습니다~	5	호식이두마리치킨-행신2호점
138	언제나 맛이 일정하고 한결같이 맛있습니다	5	호식이두마리치킨-행신2호점
139	잘먹었습니다 친절하시고 좋아요	5	호식이두마리치킨-행신2호점
140	레몬크림탕슈 정말 새콤달콤하니 맛있어요	4	호식이두마리치킨-행신2호점
141	소스도 맛있고 치킨자체도 너무 맛있너요ㅜㅠㅠㅠㅠ 또먹구싶당	5	호식이두마리치킨-행신2호점
142	치킨 맛있게 잘먹었습니다.  특히 레몬탕슈 살코기가 부드럽고 소스도 맛있어요	5	호식이두마리치킨-행신2호점
143	요청사항확인안하시나봐요 젓가락도안주시고 바삭하지않고 눅눅해요	1	호식이두마리치킨-행신2호점
144	맛있게 잘 먹었습니다:)	5	호식이두마리치킨-행신2호점
145	진짜 오랜만에 호식이 시켜먹었는데 너무 맛있어요!! 원래는 감자튀김이얐는데 감자튀김이 없다구 죄송하다고 하시면서 더 비싼!! 치즈볼로 무료로 바꿔주셨어요! 처음에는 솔직히 별 기대 안하고 먹었는데 진짜!! 너무 맛있었어요!! 진짜 치즈볼 추천이요!! 이제부턴 시켜먹을때 꼭 시킬려구요 ㅎㅎ 너무 맛있었어요! 다음에 또 시켜먹을게영!!	5	호식이두마리치킨-행신2호점
146	최고!!!오랜만에 치킨 먹었는데 백프로 만족이예요 역시 호식이 매운간장은 진리 후라이드도 바삭바삭해서 좋았고 무엇보다 따뜻한 상태로 와서 맛있게 먹었습니다	5	호식이두마리치킨-행신2호점
147	크림탕슈은 옷이 꼭 찹쌀  튀김옷 같이 식감이 좋아요 근데 가격  양이.. 맛은 있네요  소스는 중국집 크림새우소스 맛 같아요  그리고 콜라 500미리가 기본이네요 무는 안 주는줄 알고 추가 했어요 ㅜㅜ	5	호식이두마리치킨-행신2호점
148	오늘 매운간장이 엄청나게 매워서 맵찔이 가족들이  혼쭐나며 먹었네요. 그래도 맛있게 잘먹었습니다.	5	호식이두마리치킨-행신2호점
149	잘먹엇어요 빠른배달 감사요	5	호식이두마리치킨-행신2호점
150	무디무기 맛있아요 너무	5	호식이두마리치킨-행신2호점
151	호식이 두마리 치킨	5	호식이두마리치킨-행신2호점
152	겉은 바삭 속은 촉촉 맛있습니다.	5	호식이두마리치킨-행신2호점
153	조아요ㅎ.........	5	호식이두마리치킨-행신2호점
154	맛있어요 일하는데 시켜먹어요 ㅋㅋ	5	호식이두마리치킨-행신2호점
155	excellent !!!!!!	5	호식이두마리치킨-행신2호점
156	맛있어요 양도 적당히 많이있고 양념치킨이 달달해서 좋았습니다ㅎㅎ	5	호식이두마리치킨-행신2호점
157	맛있게 잘 먹었습니다~	5	호식이두마리치킨-행신2호점
158	가격 맛 배송 모두 만족합니다.	5	호식이두마리치킨-행신2호점
159	진짜 맛있게 잘먹었습니다. ^^	5	호식이두마리치킨-행신2호점
161	잘먹었습니다 꺼억~♥	5	호식이두마리치킨-행신2호점
162	양도 많고 맛도 있습니다!	5	호식이두마리치킨-행신2호점
163	매운간장 맛있어서 또 시켰어요 추천합니다	5	호식이두마리치킨-행신2호점
164	배달도 빠르고 맛있어요	5	호식이두마리치킨-행신2호점
165	완잔전맛있어요~~~	4	호식이두마리치킨-행신2호점
166	가격 맛 배달 모두 만족합니다.	5	호식이두마리치킨-행신2호점
167	맛있어요 잘먹었습니다	5	호식이두마리치킨-행신2호점
168	간이 너무 안베있..	5	호식이두마리치킨-행신2호점
169	역시 믿고 먹는 호식이입니다 맛있었습니다!	5	호식이두마리치킨-행신2호점
170	맛있어요~!!!!!	5	호식이두마리치킨-행신2호점
171	제시간에 잘 왔습니다	5	호식이두마리치킨-행신2호점
172	양도 많고 맛있게 먹었습니다	5	호식이두마리치킨-행신2호점
173	잘먹었습니다. 맛있네요.	5	호식이두마리치킨-행신2호점
174	맛있게 잘 먹었습니다!^^	5	호식이두마리치킨-행신2호점
175	맛있어요~~~~~~~~	5	호식이두마리치킨-행신2호점
176	매운간장과 양념의 맵단 행복한 조합 매운간장 바삭하고 양념 꾸덕하고 최고에요! 잘먹었습니다~	5	호식이두마리치킨-행신2호점
177	양 많고 바삭하고 맛있어요  친절하세요~	5	호식이두마리치킨-행신2호점
178	음식 한번에 보내려고 배달 늦은게 너무 눈에 보이네요  1시간15분...ㅡㅡ맛은 보통인데 치킨은 다 식었어요...	2	호식이두마리치킨-행신2호점
179	정말 잘먹겠습니다.	5	호식이두마리치킨-행신2호점
180	맛있게 먹었어요  배달도 빨라요	5	호식이두마리치킨-행신2호점
181	맛있게 잘먹었습니다	5	호식이두마리치킨-행신2호점
182	첨 먹어보는데 넘 맛있어요! 알싸하게 매워서 하나도 안느끼하고 좋네요ㅎㅎ 가슴살이랑 다리살 섞인거 같은데 가슴살도 안퍽퍽하고 되게 부드러워서 잘 먹었어요^^	5	호식이두마리치킨-행신2호점
183	맛있어요 맛있어요 맛있어요	5	호식이두마리치킨-행신2호점
184	음식도 빨리 왔어요!	4	호식이두마리치킨-행신2호점
185	잘 먹었습니다.맛있어요~	5	호식이두마리치킨-행신2호점
186	따뜻하고 맛있어요. 안전한 배달 감사합니다.	5	호식이두마리치킨-행신2호점
187	따듯한치킨 잘먹겠습니다^^	5	호식이두마리치킨-행신2호점
188	호식이모델 팬입니다ㅋ 호식이 단골인데 레몬탕슈맛 궁금해서 구매해봤어요. 기대이상으로 맛있네요. 레몬소스에 찍어 먹으니 더 맛있네요.	5	호식이두마리치킨-행신2호점
189	호식이는 행신2호점이 제일 맛나요	5	호식이두마리치킨-행신2호점
190	좋아요.-.-.-.-	5	호식이두마리치킨-행신2호점
191	레몬 크림 탕슈 추천합니다. 호식이 처음 시켜 먹는데 레몬 크림탕슈는 쫄깃쫄깃한데 크림탕수육 소스맛이라 정말 좋네요. 비교되다보니 매운 간장이 오히려 좀 별로인것 같긴 했지만 괜찮았습니다. 담엔 아마 레몬 크림 탕슈로만 아님 다른맛이랑 시킬 것 같아요 :)	5	호식이두마리치킨-행신2호점
192	덕분에 맛있게 잘 먹었습니다.	5	호식이두마리치킨-행신2호점
193	감사합니다  잘먹었습니다	5	호식이두마리치킨-행신2호점
194	깔끔하고 맛있어요~	5	호식이두마리치킨-행신2호점
195	양념은 처음 주문해 봤는데 맛있네요 잘 먹었습니다~~	5	호식이두마리치킨-행신2호점
196	1234567890	5	호식이두마리치킨-행신2호점
197	늘 변함없는 맛있습니다..	5	호식이두마리치킨-행신2호점
199	예상시간보다 빨리받았습니다. 가족모두 맛있게잘먹었네요.	5	호식이두마리치킨-행신2호점
200	매콤하고 맛있어요! 강추합니다	5	호식이두마리치킨-행신2호점
201	호시기처음먹어봄 희안한것이 배달오면 개봉할때 치킨냄새가 진동하는데  이건 냄새가아주아주 약함 ㅋㅋ신기.. 양은 푸짐한데 입에 안밎네요 걍 날개좋아해서 먹음	3	호식이두마리치킨-행신2호점
203	맛있어요~!! 잘먹었습니다~!	5	호식이두마리치킨-행신2호점
204	스위츠 갈릭 맛있습니다. ^^	5	호식이두마리치킨-행신2호점
205	매운간장 맛있네요! 양 많고 맛좋은 호식이 너무 좋아요~	5	호식이두마리치킨-행신2호점
206	완전 맛있어요  제스타일이에요!!	5	호식이두마리치킨-행신2호점
207	똥집튀김 맛있었어요	5	호식이두마리치킨-행신2호점
208	배달빨리왔어요   맜있어요  다음에도또시킬깨요	5	호식이두마리치킨-행신2호점
209	배달도 생각보다 빨랐구 너무 맛있었어요~~ 맥주는 처음 시켜봤는데 괜찮네요 ㅋ 박스 종이 포장으로 비닐봉지 없이 오니 싫으신분들은 따로 비닐 요청해주셔야 할거 같아요~ 잘 먹었습니다^^	5	호식이두마리치킨-행신2호점
210	오늘도 페페로니 맛나게 클리어~^^* 항상 잘 먹고 있어용	5	7번가피자-계양점
211	오랜만에 시켜먹어요!! 역시 맛있네요 ㅎㅎ	5	7번가피자-계양점
212	맛있어요  두번째 주문이예요 !  토핑도 풍성 ~ 리뷰이벤트로 주는 스파게티도 넘나 맛있어요!! 또또 올께요	5	7번가피자-계양점
213	포장도 완벽! 맛도 완벽! 피자는 칠번가에요~	5	7번가피자-계양점
214	씬바사삭 너무 맛있어요 ~ 수제피클도 항상 잘 먹고 있어요 ~ 생일파티중에 급하게 찍었더니 넘 지저분하네요..ㅋㅋ	5	7번가피자-계양점
215	맛있게 잘먹었어요 따듯하게 잘받았습니다♥️	5	7번가피자-계양점
216	배달빠르고 맛있녜요 감사합니다	5	7번가피자-계양점
217	아이들과 넘 맛있게 먹었습니다  다음에 또 주문 할께요	5	7번가피자-계양점
218	새우가 큼지막해서 씹는감이 너무 좋았어요 ㅎㅎ 보온팩 같은 곳에 싸서 보내주셔서 따듯하고 맛있게 잘 먹었습니다 다음에 또 주문할게요	5	7번가피자-계양점
219	맛도 괜찮고 가성비도 좋고 👍👍👍	5	7번가피자-계양점
220	맛있게 잘 먹었습니당!! 리뷰이벤트로 주신 스파게티도 넘나 맛있네요 번창하세요~~	5	7번가피자-계양점
221	배달도 빠르고 맛있게먹었어요	5	7번가피자-계양점
222	피자랑 스파게티 다 맛있어요	5	7번가피자-계양점
223	따뜻하게 배달되어서 너무좋아요 아기랑 맛있게 잘먹었어요	5	7번가피자-계양점
224	맛나게 잘 먹었습니다	5	7번가피자-계양점
225	피자 넘 맛있어요 오븐스파게티 받을려고 타 배달앱 할인데이지만  요기요로 주문해씀다  오븐스파게티도 존맛이에요	5	7번가피자-계양점
226	맛있어요.	5	7번가피자-계양점
228	페페로니피자 이건 못참지~~~~!!!!! 할인덕분에 맛나게 알뜰하게 잘 먹었습니다^-^	5	7번가피자-계양점
229	넘 맛있어용~~~ 감자 좋아하는 사람들 엄청 좋아할듯!!	5	7번가피자-계양점
230	7번가 피자 첫입문이요~~ 적지 않은 가격대라 살짝 고민을 하다 용기를 내서 주문했는데 정말 맛있었어요 담백한거 좋아하는 저한테는 딱 이더라구요 그리고 큼직한 새우에 도우도 맛있구요 그런데 겨자소스였던가 그건 너무적고 안뿌려진 부분이 많아서 맛이 제데로 안나는 부분이 많아써요 매운거 쏘는거 완전 매니아거든요 그게 살~~짝 아쉽긴 했지만 진짜 맛있게 먹어씁니다 리뷰이벤트 오븐 스파게티 감사합니다 전 그냥보통이었구요 동생이 맛있게 다먹었어요 참 수제오이피클 너무 좋아써요 도톰하고 아삭하고 어쨌든 맛나게 잘먹었구요 또 주문할꺼 같아요	5	7번가피자-계양점
231	항상 맛나게먹어요!!! 따뜻하니 좋네요	5	7번가피자-계양점
232	매번 시켜먹는 7번가 피자ㅎㅎ 오늘은 요기요에서 할인되길래 여기서 시켰어요. 맛있게 먹었습니다	5	7번가피자-계양점
233	또 시킬게요 맛있네요	5	7번가피자-계양점
